PC=00000000,instr=00002283
PC=00000004,instr=00528333
PC=00000008,instr=0062e533
PC=0000000c,instr=00550533
PC=00000010,instr=00630633
PC=00000014,instr=0062f5b3
PC=00000018,instr=00a52223
PC=0000001c,instr=006585b3
PC=00000020,instr=40030333
PC=00000024,instr=00c62683
PC=00000028,instr=406686b3
PC=0000002c,instr=fcb68ae3
PC=00000030,instr=006585b3
PC=00000034,instr=406686b3
PC=00000038,instr=00b68463
PC=0000003c,instr=00632223
PC=00000040,instr=0005f5b3
PC=00000044,instr=00530333
PC=00000048,instr=00662223
PC=0000004c,instr=00000063
